=== AI Battle Results ===
Total Games: 100
Player 0 Wins: 46 (46.0%)
Player 1 Wins: 54 (54.0%)

Total Moves Across All Games: 1853
Average Time Per Move: 1.5956 ms

--- Per-Game Details ---
Game | P0_HP | P0_ATK | P0_SPD | P1_HP | P1_ATK | P1_SPD | Winner | Moves | AvgMoveTime(ms)
----------------------------------------------------------------------------------------------------
   1 |    74 |     18 |      3 |    52 |     14 |      2 |      0 |    11 | 0.4558
   2 |    72 |     19 |      3 |    32 |     15 |      7 |      0 |    14 | 1.0229
   3 |    64 |     13 |      4 |    52 |     12 |      4 |      0 |    22 | 1.5618
   4 |    33 |      9 |      1 |    38 |     11 |      4 |      1 |    15 | 1.6045
   5 |    34 |      9 |      5 |    58 |     13 |      2 |      1 |    12 | 1.7745
   6 |    77 |     19 |      5 |    37 |     12 |      5 |      0 |    14 | 1.7124
   7 |    55 |     19 |      9 |    78 |      6 |      6 |      0 |    29 | 2.2599
   8 |    77 |     18 |      3 |    32 |     15 |      7 |      0 |    16 | 1.5561
   9 |    61 |     19 |      3 |    75 |     17 |      9 |      1 |    21 | 1.5803
  10 |    47 |      9 |      1 |    49 |     18 |      8 |      1 |    13 | 1.7225
  11 |    76 |     12 |      9 |    54 |     11 |      4 |      0 |    17 | 1.8889
  12 |    65 |     15 |      7 |    66 |     11 |      8 |      0 |    18 | 1.9370
  13 |    57 |     16 |      2 |    75 |     17 |      1 |      1 |    18 | 2.4693
  14 |    66 |      8 |      5 |    58 |     15 |      6 |      1 |    19 | 2.4592
  15 |    68 |     14 |      6 |    65 |     11 |      2 |      0 |    17 | 2.3975
  16 |    58 |     15 |      3 |    78 |      9 |      1 |      0 |    23 | 1.7711
  17 |    46 |     10 |      3 |    47 |     15 |      8 |      1 |    17 | 1.4363
  18 |    67 |     15 |      3 |    43 |     11 |      3 |      0 |    12 | 1.7462
  19 |    45 |     17 |      1 |    66 |     13 |      7 |      0 |    20 | 1.5317
  20 |    77 |     19 |      1 |    34 |      6 |      8 |      0 |    12 | 1.3787
  21 |    44 |     10 |      1 |    40 |     17 |      9 |      1 |    21 | 1.4395
  22 |    44 |      7 |      7 |    61 |     15 |      7 |      1 |    12 | 1.7683
  23 |    63 |      5 |      5 |    69 |     11 |      2 |      1 |    20 | 1.6426
  24 |    40 |     18 |      5 |    66 |     15 |      3 |      1 |    12 | 1.5528
  25 |    47 |     12 |      3 |    32 |     18 |      7 |      0 |    26 | 1.5768
  26 |    61 |      9 |      4 |    78 |     19 |      5 |      1 |    15 | 1.5625
  27 |    53 |     13 |      4 |    30 |      8 |      7 |      0 |    20 | 1.6119
  28 |    52 |     11 |      7 |    34 |     14 |      1 |      1 |    16 | 1.6038
  29 |    31 |     16 |      1 |    66 |      9 |      3 |      1 |    15 | 1.8304
  30 |    30 |     12 |      8 |    66 |     17 |      5 |      1 |    10 | 1.3777
  31 |    40 |     18 |      6 |    61 |     15 |      3 |      1 |    14 | 1.6784
  32 |    30 |     10 |      7 |    71 |      7 |      6 |      1 |    20 | 1.7098
  33 |    78 |     15 |      2 |    69 |     12 |      7 |      0 |    24 | 1.4795
  34 |    51 |      7 |      1 |    37 |     15 |      4 |      1 |    17 | 1.4001
  35 |    76 |     19 |      6 |    42 |     19 |      1 |      0 |    13 | 1.4191
  36 |    46 |     15 |      1 |    69 |     14 |      3 |      1 |    19 | 1.5860
  37 |    46 |      5 |      2 |    33 |     13 |      1 |      1 |    16 | 1.5162
  38 |    74 |     12 |      5 |    78 |     19 |      8 |      1 |    19 | 1.4362
  39 |    68 |      7 |      5 |    31 |     14 |      9 |      0 |    20 | 1.5798
  40 |    31 |     14 |      3 |    49 |     13 |      1 |      1 |    16 | 1.3999
  41 |    72 |     11 |      5 |    73 |     19 |      6 |      1 |    19 | 1.5246
  42 |    77 |     11 |      3 |    79 |      9 |      7 |      0 |    32 | 1.5034
  43 |    77 |      7 |      4 |    51 |     11 |      7 |      1 |    23 | 1.5709
  44 |    70 |     18 |      2 |    61 |     14 |      3 |      0 |    18 | 1.5475
  45 |    39 |      9 |      8 |    52 |      9 |      7 |      1 |    22 | 1.4442
  46 |    76 |     10 |      8 |    68 |      6 |      6 |      0 |    23 | 1.6028
  47 |    50 |     10 |      2 |    61 |     14 |      1 |      1 |    22 | 1.5309
